2026-08-08 17:07:44 | INFO  | p.CommonActions | Clicking upload area
2026-08-08 17:07:44 | INFO  | p.CommonActions | Uploading file : D:\MontreCY\com.montrecy.automation\src\main\resources\Health.png
2026-08-08 17:07:44 | INFO  | p.CommonActions | File uploaded successfully
2026-08-08 17:07:47 | INFO  | p.ContentPage   | Adding Chapter Content
2026-08-08 17:07:54 | INFO  | p.ContentPage   | Adding Learning Outcome 1
2026-08-08 17:07:57 | INFO  | p.ContentPage   | Adding Learning Outcome 2
2026-08-08 17:08:00 | INFO  | p.ContentPage   | Adding Learning Outcome 3
2026-08-08 17:08:03 | INFO  | p.ContentPage   | Clicking Submit
2026-08-08 17:08:10 | INFO  | p.ContentPage   | Chapter added successfully
2026-08-08 17:08:10 | INFO  | t.ContentTest   | TEST RESULT : PASSED
2026-08-08 17:08:10 | INFO  | t.ContentTest   | ======================================================
2026-08-08 17:08:20 | INFO  | t.ContentTest   | ======================================================
2026-08-08 17:08:20 | INFO  | t.ContentTest   | TEST CASE : TC_007 - Verify Add Quiz Question
2026-08-08 17:08:20 | INFO  | t.ContentTest   | ======================================================
2026-08-08 17:08:20 | INFO  | t.ContentTest   | STEP 1 : Login
2026-08-08 17:08:20 | INFO  | p.LoginPage     | Starting Login Process.
2026-08-08 17:08:20 | INFO  | p.LoginPage     | Entering Email.
2026-08-08 17:08:21 | INFO  | p.LoginPage     | Entering Password.
2026-08-08 17:08:21 | INFO  | p.LoginPage     | Clicking Login button.
2026-08-08 17:08:21 | INFO  | p.LoginPage     | Login completed successfully.
2026-08-08 17:08:21 | INFO  | t.ContentTest   | STEP 2 : Navigate to Content
2026-08-08 17:08:21 | INFO  | p.ContentPage   | Clicking Content menu
2026-08-08 17:08:22 | INFO  | p.ContentPage   | Content page opened
2026-08-08 17:08:23 | INFO  | t.ContentTest   | STEP 3 : Add Quiz Question
2026-08-08 17:08:23 | INFO  | p.ContentPage   | Clicking Subject : Health
2026-08-08 17:08:26 | INFO  | p.ContentPage   | Clicking Level : First Grade
2026-08-08 17:08:58 | INFO  | p.ContentPage   | Selecting Difficulty Level : Easy
2026-08-08 17:09:07 | INFO  | p.ContentPage   | Entering Explanation
2026-08-08 17:09:10 | INFO  | p.ContentPage   | Clicking Submit Question
2026-08-08 17:09:17 | INFO  | p.ContentPage   | Quiz Question added successfully
2026-08-08 17:09:17 | INFO  | t.ContentTest   | TEST RESULT : PASSED
2026-08-08 17:09:17 | INFO  | t.ContentTest   | ======================================================
2026-08-08 17:09:27 | INFO  | t.DashboardTest | ============================================================
2026-08-08 17:09:27 | INFO  | t.DashboardTest | TEST CASE : TC_003 - Verify Platform Pulse KPI Cards
2026-08-08 17:09:27 | INFO  | t.DashboardTest | ============================================================
2026-08-08 17:09:27 | INFO  | t.DashboardTest | STEP 1 : Login to MontreCY Admin Portal
2026-08-08 17:09:27 | INFO  | p.LoginPage     | Starting Login Process.
2026-08-08 17:09:27 | INFO  | p.LoginPage     | Entering Email.
2026-08-08 17:09:27 | INFO  | p.LoginPage     | Entering Password.
2026-08-08 17:09:28 | INFO  | p.LoginPage     | Clicking Login button.
2026-08-08 17:09:28 | INFO  | p.LoginPage     | Login completed successfully.
2026-08-08 17:09:28 | INFO  | t.DashboardTest | STEP 2 : Validate Dashboard page
2026-08-08 17:09:28 | INFO  | p.DashboardPage | Verifying Dashboard page.
2026-08-08 17:09:29 | INFO  | t.DashboardTest | STEP 3 : Validate Platform Pulse KPI Cards
2026-08-08 17:09:29 | INFO  | p.DashboardPage | Verifying Total Users card.
2026-08-08 17:09:30 | INFO  | p.DashboardPage | Verifying New Subscriptions card.
2026-08-08 17:09:30 | INFO  | p.DashboardPage | Verifying Revenue card.
2026-08-08 17:09:30 | INFO  | p.DashboardPage | Verifying Churn Rate card.
2026-08-08 17:09:30 | INFO  | p.DashboardPage | Verifying DAU card.
2026-08-08 17:09:30 | INFO  | t.DashboardTest | TEST RESULT : PASSED
2026-08-08 17:09:30 | INFO  | t.DashboardTest | ============================================================
2026-08-08 17:09:34 | INFO  | test.LoginTest  | ============================================================
2026-08-08 17:09:34 | INFO  | test.LoginTest  | TEST CASE : TC_001 - Verify Admin Login and Dashboard Title
2026-08-08 17:09:34 | INFO  | test.LoginTest  | ============================================================
2026-08-08 17:09:34 | INFO  | test.LoginTest  | STEP 1 : Login to MontreCY Admin Portal
2026-08-08 17:09:34 | INFO  | p.LoginPage     | Starting Login Process.
2026-08-08 17:09:34 | INFO  | p.LoginPage     | Entering Email.
2026-08-08 17:09:35 | INFO  | p.LoginPage     | Entering Password.
2026-08-08 17:09:35 | INFO  | p.LoginPage     | Clicking Login button.
2026-08-08 17:09:36 | INFO  | p.LoginPage     | Login completed successfully.
2026-08-08 17:09:36 | INFO  | test.LoginTest  | STEP 2 : Validate Dashboard page
2026-08-08 17:09:36 | INFO  | p.DashboardPage | Verifying Dashboard page.
2026-08-08 17:09:37 | INFO  | test.LoginTest  | STEP 3 : Validate Dashboard title
2026-08-08 17:09:37 | INFO  | p.DashboardPage | Getting Dashboard title.
2026-08-08 17:09:37 | INFO  | test.LoginTest  | TEST RESULT : PASSED
2026-08-08 17:09:37 | INFO  | test.LoginTest  | ============================================================
2026-08-08 17:09:41 | INFO  | test.LoginTest  | ============================================================
2026-08-08 17:09:41 | INFO  | test.LoginTest  | TEST CASE : TC_002 - Verify Admin Logout
2026-08-08 17:09:41 | INFO  | test.LoginTest  | ============================================================
2026-08-08 17:09:41 | INFO  | test.LoginTest  | STEP 1 : Login to MontreCY Admin Portal
2026-08-08 17:09:41 | INFO  | p.LoginPage     | Starting Login Process.
2026-08-08 17:09:41 | INFO  | p.LoginPage     | Entering Email.
2026-08-08 17:09:41 | INFO  | p.LoginPage     | Entering Password.
2026-08-08 17:09:41 | INFO  | p.LoginPage     | Clicking Login button.
2026-08-08 17:09:42 | INFO  | p.LoginPage     | Login completed successfully.
2026-08-08 17:09:42 | INFO  | test.LoginTest  | STEP 2 : Logout from MontreCY Admin Portal
2026-08-08 17:09:42 | INFO  | p.DashboardPage | Starting Logout process.
2026-08-08 17:09:43 | INFO  | p.DashboardPage | Clicked User Avatar.
2026-08-08 17:09:45 | INFO  | p.DashboardPage | Logout completed successfully.
2026-08-08 17:09:45 | INFO  | test.LoginTest  | STEP 3 : Validate Login page
